ds,y
1-Jan-48,3.40
1-Feb-48,3.80
1-Mar-48,4.00
1-Apr-48,3.90
1-May-48,3.50
1-Jun-48,3.60
1-Jul-48,3.60
1-Aug-48,3.90
1-Sep-48,3.80
1-Oct-48,3.70
1-Nov-48,3.80
1-Dec-48,4.00
1-Jan-49,4.30
1-Feb-49,4.70
1-Mar-49,5.00
1-Apr-49,5.30
1-May-49,6.10
1-Jun-49,6.20
1-Jul-49,6.70
1-Aug-49,6.80
1-Sep-49,6.60
1-Oct-49,7.90
1-Nov-49,6.40
1-Dec-49,6.60
1-Jan-50,6.50
1-Feb-50,6.40
1-Mar-50,6.30
1-Apr-50,5.80
1-May-50,5.50
1-Jun-50,5.40
1-Jul-50,5.00
1-Aug-50,4.50
1-Sep-50,4.40
1-Oct-50,4.20
1-Nov-50,4.20
1-Dec-50,4.30
1-Jan-51,3.70
1-Feb-51,3.40
1-Mar-51,3.40
1-Apr-51,3.10
1-May-51,3.00
1-Jun-51,3.20
1-Jul-51,3.10
1-Aug-51,3.10
1-Sep-51,3.30
1-Oct-51,3.50
1-Nov-51,3.50
1-Dec-51,3.10
1-Jan-52,3.20
1-Feb-52,3.10
1-Mar-52,2.90
1-Apr-52,2.90
1-May-52,3.00
1-Jun-52,3.00
1-Jul-52,3.20
1-Aug-52,3.40
1-Sep-52,3.10
1-Oct-52,3.00
1-Nov-52,2.80
1-Dec-52,2.70
1-Jan-53,2.90
1-Feb-53,2.60
1-Mar-53,2.60
1-Apr-53,2.70
1-May-53,2.50
1-Jun-53,2.50
1-Jul-53,2.60
1-Aug-53,2.70
1-Sep-53,2.90
1-Oct-53,3.10
1-Nov-53,3.50
1-Dec-53,4.50
1-Jan-54,4.90
1-Feb-54,5.20
1-Mar-54,5.70
1-Apr-54,5.90
1-May-54,5.90
1-Jun-54,5.60
1-Jul-54,5.80
1-Aug-54,6.00
1-Sep-54,6.10
1-Oct-54,5.70
1-Nov-54,5.30
1-Dec-54,5.00
1-Jan-55,4.90
1-Feb-55,4.70
1-Mar-55,4.60
1-Apr-55,4.70
1-May-55,4.30
1-Jun-55,4.20
1-Jul-55,4.00
1-Aug-55,4.20
1-Sep-55,4.10
1-Oct-55,4.30
1-Nov-55,4.20
1-Dec-55,4.20
1-Jan-56,4.00
1-Feb-56,3.90
1-Mar-56,4.20
1-Apr-56,4.00
1-May-56,4.30
1-Jun-56,4.30
1-Jul-56,4.40
1-Aug-56,4.10
1-Sep-56,3.90
1-Oct-56,3.90
1-Nov-56,4.30
1-Dec-56,4.20
1-Jan-57,4.20
1-Feb-57,3.90
1-Mar-57,3.70
1-Apr-57,3.90
1-May-57,4.10
1-Jun-57,4.30
1-Jul-57,4.20
1-Aug-57,4.10
1-Sep-57,4.40
1-Oct-57,4.50
1-Nov-57,5.10
1-Dec-57,5.20
1-Jan-58,5.80
1-Feb-58,6.40
1-Mar-58,6.70
1-Apr-58,7.40
1-May-58,7.40
1-Jun-58,7.30
1-Jul-58,7.50
1-Aug-58,7.40
1-Sep-58,7.10
1-Oct-58,6.70
1-Nov-58,6.20
1-Dec-58,6.20
1-Jan-59,6.00
1-Feb-59,5.90
1-Mar-59,5.60
1-Apr-59,5.20
1-May-59,5.10
1-Jun-59,5.00
1-Jul-59,5.10
1-Aug-59,5.20
1-Sep-59,5.50
1-Oct-59,5.70
1-Nov-59,5.80
1-Dec-59,5.30
1-Jan-60,5.20
1-Feb-60,4.80
1-Mar-60,5.40
1-Apr-60,5.20
1-May-60,5.10
1-Jun-60,5.40
1-Jul-60,5.50
1-Aug-60,5.60
1-Sep-60,5.50
1-Oct-60,6.10
1-Nov-60,6.10
1-Dec-60,6.60
1-Jan-61,6.60
1-Feb-61,6.90
1-Mar-61,6.90
1-Apr-61,7.00
1-May-61,7.10
1-Jun-61,6.90
1-Jul-61,7.00
1-Aug-61,6.60
1-Sep-61,6.70
1-Oct-61,6.50
1-Nov-61,6.10
1-Dec-61,6.00
1-Jan-62,5.80
1-Feb-62,5.50
1-Mar-62,5.60
1-Apr-62,5.60
1-May-62,5.50
1-Jun-62,5.50
1-Jul-62,5.40
1-Aug-62,5.70
1-Sep-62,5.60
1-Oct-62,5.40
1-Nov-62,5.70
1-Dec-62,5.50
1-Jan-63,5.70
1-Feb-63,5.90
1-Mar-63,5.70
1-Apr-63,5.70
1-May-63,5.90
1-Jun-63,5.60
1-Jul-63,5.60
1-Aug-63,5.40
1-Sep-63,5.50
1-Oct-63,5.50
1-Nov-63,5.70
1-Dec-63,5.50
1-Jan-64,5.60
1-Feb-64,5.40
1-Mar-64,5.40
1-Apr-64,5.30
1-May-64,5.10
1-Jun-64,5.20
1-Jul-64,4.90
1-Aug-64,5.00
1-Sep-64,5.10
1-Oct-64,5.10
1-Nov-64,4.80
1-Dec-64,5.00
1-Jan-65,4.90
1-Feb-65,5.10
1-Mar-65,4.70
1-Apr-65,4.80
1-May-65,4.60
1-Jun-65,4.60
1-Jul-65,4.40
1-Aug-65,4.40
1-Sep-65,4.30
1-Oct-65,4.20
1-Nov-65,4.10
1-Dec-65,4.00
1-Jan-66,4.00
1-Feb-66,3.80
1-Mar-66,3.80
1-Apr-66,3.80
1-May-66,3.90
1-Jun-66,3.80
1-Jul-66,3.80
1-Aug-66,3.80
1-Sep-66,3.70
1-Oct-66,3.70
1-Nov-66,3.60
1-Dec-66,3.80
1-Jan-67,3.90
1-Feb-67,3.80
1-Mar-67,3.80
1-Apr-67,3.80
1-May-67,3.80
1-Jun-67,3.90
1-Jul-67,3.80
1-Aug-67,3.80
1-Sep-67,3.80
1-Oct-67,4.00
1-Nov-67,3.90
1-Dec-67,3.80
1-Jan-68,3.70
1-Feb-68,3.80
1-Mar-68,3.70
1-Apr-68,3.50
1-May-68,3.50
1-Jun-68,3.70
1-Jul-68,3.70
1-Aug-68,3.50
1-Sep-68,3.40
1-Oct-68,3.40
1-Nov-68,3.40
1-Dec-68,3.40
1-Jan-69,3.40
1-Feb-69,3.40
1-Mar-69,3.40
1-Apr-69,3.40
1-May-69,3.40
1-Jun-69,3.50
1-Jul-69,3.50
1-Aug-69,3.50
1-Sep-69,3.70
1-Oct-69,3.70
1-Nov-69,3.50
1-Dec-69,3.50
1-Jan-70,3.90
1-Feb-70,4.20
1-Mar-70,4.40
1-Apr-70,4.60
1-May-70,4.80
1-Jun-70,4.90
1-Jul-70,5.00
1-Aug-70,5.10
1-Sep-70,5.40
1-Oct-70,5.50
1-Nov-70,5.90
1-Dec-70,6.10
1-Jan-71,5.90
1-Feb-71,5.90
1-Mar-71,6.00
1-Apr-71,5.90
1-May-71,5.90
1-Jun-71,5.90
1-Jul-71,6.00
1-Aug-71,6.10
1-Sep-71,6.00
1-Oct-71,5.80
1-Nov-71,6.00
1-Dec-71,6.00
1-Jan-72,5.80
1-Feb-72,5.70
1-Mar-72,5.80
1-Apr-72,5.70
1-May-72,5.70
1-Jun-72,5.70
1-Jul-72,5.60
1-Aug-72,5.60
1-Sep-72,5.50
1-Oct-72,5.60
1-Nov-72,5.30
1-Dec-72,5.20
1-Jan-73,4.90
1-Feb-73,5.00
1-Mar-73,4.90
1-Apr-73,5.00
1-May-73,4.90
1-Jun-73,4.90
1-Jul-73,4.80
1-Aug-73,4.80
1-Sep-73,4.80
1-Oct-73,4.60
1-Nov-73,4.80
1-Dec-73,4.90
1-Jan-74,5.10
1-Feb-74,5.20
1-Mar-74,5.10
1-Apr-74,5.10
1-May-74,5.10
1-Jun-74,5.40
1-Jul-74,5.50
1-Aug-74,5.50
1-Sep-74,5.90
1-Oct-74,6.00
1-Nov-74,6.60
1-Dec-74,7.20
1-Jan-75,8.10
1-Feb-75,8.10
1-Mar-75,8.60
1-Apr-75,8.80
1-May-75,9.00
1-Jun-75,8.80
1-Jul-75,8.60
1-Aug-75,8.40
1-Sep-75,8.40
1-Oct-75,8.40
1-Nov-75,8.30
1-Dec-75,8.20
1-Jan-76,7.90
1-Feb-76,7.70
1-Mar-76,7.60
1-Apr-76,7.70
1-May-76,7.40
1-Jun-76,7.60
1-Jul-76,7.80
1-Aug-76,7.80
1-Sep-76,7.60
1-Oct-76,7.70
1-Nov-76,7.80
1-Dec-76,7.80
1-Jan-77,7.50
1-Feb-77,7.60
1-Mar-77,7.40
1-Apr-77,7.20
1-May-77,7.00
1-Jun-77,7.20
1-Jul-77,6.90
1-Aug-77,7.00
1-Sep-77,6.80
1-Oct-77,6.80
1-Nov-77,6.80
1-Dec-77,6.40
1-Jan-78,6.40
1-Feb-78,6.30
1-Mar-78,6.30
1-Apr-78,6.10
1-May-78,6.00
1-Jun-78,5.90
1-Jul-78,6.20
1-Aug-78,5.90
1-Sep-78,6.00
1-Oct-78,5.80
1-Nov-78,5.90
1-Dec-78,6.00
1-Jan-79,5.90
1-Feb-79,5.90
