TB3MS,T10Y3MM,T10Y2YM,FEDFUNDS,BAA10YM,AAA10YM
7.64,0.31,0.12,8.23,1.73,0.78
7.74,0.47,0.1,8.24,1.67,0.75
7.9,0.42,-0.04,8.28,1.62,0.78
7.77,0.75,0.07,8.26,1.51,0.67
7.74,0.75,0.12,8.18,1.65,0.71
7.73,0.49,0.13,8.29,1.74,0.78
7.62,0.6,0.31,8.15,1.73,0.77
7.45,1.06,0.69,8.13,1.66,0.66
7.36,1.29,0.81,8.2,1.75,0.67
7.17,1.32,0.84,8.11,2.02,0.81
7.06,1.1,0.79,7.81,2.23,0.91
6.74,1.13,0.77,7.31,2.35,0.97
6.22,1.68,0.96,6.91,2.36,0.95
5.94,1.73,0.98,6.25,2.22,0.98
5.91,2.02,1.01,6.12,1.98,0.82
5.65,2.21,1.09,5.91,1.9,0.82
5.46,2.44,1.29,5.78,1.79,0.79
5.57,2.53,1.32,5.9,1.68,0.73
5.58,2.52,1.35,5.82,1.62,0.73
5.33,2.4,1.47,5.66,1.75,0.85
5.22,2.28,1.47,5.45,1.86,0.96
4.99,2.39,1.62,5.21,1.96,1.02
4.56,2.73,1.86,4.81,2.03,1.06
4.07,2.91,2.06,4.43,2.17,1.22
3.8,3.12,2.07,4.03,2.1,1.17
3.84,3.39,2.13,4.06,1.89,0.95
4.04,3.4,1.85,3.98,1.71,0.81
3.75,3.64,2.14,3.73,1.73,0.85
3.63,3.67,2.16,3.82,1.74,0.89
3.66,3.51,2.21,3.76,1.79,0.96
3.21,3.56,2.48,3.25,2,1.23
3.13,3.39,2.4,3.3,2.06,1.36
2.91,3.45,2.53,3.22,2.2,1.5
2.86,3.66,2.51,3.1,2.25,1.4
3.13,3.66,2.29,3.09,2.09,1.23
3.22,3.48,2.1,2.92,2.04,1.21
3,3.53,2.21,3.02,2.07,1.31
2.93,3.27,2.16,3.03,2.13,1.45
2.95,2.97,2.03,3.07,2.17,1.6
2.87,3.04,2.13,2.96,2.17,1.49
2.96,3.01,2.06,3,2.17,1.39
3.07,2.82,1.8,3.04,2.11,1.37
3.04,2.7,1.74,3.06,2.12,1.36
3.02,2.59,1.68,3.03,1.92,1.17
2.95,2.35,1.51,3.09,1.98,1.3
3.02,2.24,1.46,2.99,1.98,1.34
3.1,2.54,1.56,3.02,1.94,1.21
3.06,2.64,1.56,2.96,1.92,1.16
2.98,2.71,1.61,3.05,1.9,1.17
3.25,2.64,1.5,3.25,1.79,1.11
3.5,2.89,1.48,3.34,1.65,1
3.68,3.19,1.42,3.56,1.55,0.91
4.14,2.91,1.21,4.01,1.44,0.81
4.14,2.85,1.17,4.25,1.55,0.87
4.33,2.84,1.17,4.26,1.5,0.81
4.48,2.63,1.06,4.47,1.5,0.83
4.62,2.71,1.07,4.73,1.52,0.88
4.95,2.64,1.01,4.76,1.46,0.83
5.29,2.51,0.81,5.29,1.36,0.72
5.6,2.05,0.22,5.45,1.29,0.65
5.71,1.88,0.27,5.53,1.3,0.68
5.77,1.53,0.36,5.92,1.38,0.79
5.73,1.29,0.42,5.98,1.5,0.92
5.65,1.22,0.49,6.05,1.54,0.97
5.67,0.78,0.46,6.01,1.57,1.02
5.47,0.53,0.45,6,1.73,1.13
5.42,0.69,0.5,5.85,1.76,1.13
5.4,0.92,0.51,5.74,1.7,1.08
