T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
0.31,0.12,7.64,8.23,10.11,7.9,-0.02,1.6512,8.21,8.09
0.47,0.1,7.74,8.24,10,8,0.23,1.6961,8.47,8.37
0.42,-0.04,7.9,8.28,10,8.17,0.31,1.6245,8.59,8.63
0.75,0.07,7.77,8.26,10,8.04,0.53,1.6372,8.79,8.72
0.75,0.12,7.74,8.18,10,8.01,0.58,1.6774,8.76,8.64
0.49,0.13,7.73,8.29,10,7.99,0.19,1.7103,8.48,8.35
0.6,0.31,7.62,8.15,10,7.87,0.32,1.8098,8.47,8.16
1.06,0.69,7.45,8.13,10,7.69,0.62,1.9013,8.75,8.06
1.29,0.81,7.36,8.2,10,7.6,0.69,1.8794,8.89,8.08
1.32,0.84,7.17,8.11,10,7.4,0.61,1.9456,8.72,7.88
1.1,0.79,7.06,7.81,10,7.29,0.58,1.9642,8.39,7.6
1.13,0.77,6.74,7.31,10,6.95,0.77,1.9219,8.08,7.31
1.68,0.96,6.22,6.91,9.52,6.41,1.18,1.9346,8.09,7.13
1.73,0.98,5.94,6.25,9.05,6.12,1.6,1.9641,7.85,6.87
2.02,1.01,5.91,6.12,9,6.09,1.99,1.8214,8.11,7.1
2.21,1.09,5.65,5.91,9,5.83,2.13,1.7497,8.04,6.95
2.44,1.29,5.46,5.78,8.5,5.63,2.29,1.7238,8.07,6.78
2.53,1.32,5.57,5.9,8.5,5.75,2.38,1.6497,8.28,6.96
2.52,1.35,5.58,5.82,8.5,5.75,2.45,1.6513,8.27,6.92
2.4,1.47,5.33,5.66,8.5,5.5,2.24,1.6841,7.9,6.43
2.28,1.47,5.22,5.45,8.2,5.37,2.2,1.7265,7.65,6.18
2.39,1.62,4.99,5.21,8,5.14,2.32,1.7231,7.53,5.91
2.73,1.86,4.56,4.81,7.58,4.69,2.61,1.7796,7.42,5.56
2.91,2.06,4.07,4.43,7.21,4.18,2.66,1.8272,7.09,5.03
3.12,2.07,3.8,4.03,6.5,3.91,3,1.809,7.03,4.96
3.39,2.13,3.84,4.06,6.5,3.95,3.28,1.7778,7.34,5.21
3.4,1.85,4.04,3.98,6.5,4.14,3.56,1.7238,7.54,5.69
3.64,2.14,3.75,3.73,6.5,3.84,3.75,1.7566,7.48,5.34
3.67,2.16,3.63,3.82,6.5,3.72,3.57,1.8095,7.39,5.23
3.51,2.21,3.66,3.76,6.5,3.75,3.5,1.8551,7.26,5.05
3.56,2.48,3.21,3.25,6.02,3.28,3.59,1.9177,6.84,4.36
3.39,2.4,3.13,3.3,6,3.2,3.29,1.9434,6.59,4.19
3.45,2.53,2.91,3.22,6,2.97,3.2,1.8465,6.42,3.89
3.66,2.51,2.86,3.1,6,2.93,3.49,1.6529,6.59,4.08
