DATE,T10Y2YM,T10Y2YM
1/1/1990,0.12,0.12
2/1/1990,0.1,0.1
3/1/1990,-0.04,-0.04
4/1/1990,0.07,0.07
5/1/1990,0.12,0.12
6/1/1990,0.13,0.13
7/1/1990,0.31,0.31
8/1/1990,0.69,0.69
9/1/1990,0.81,0.81
10/1/1990,0.84,0.84
11/1/1990,0.79,0.79
12/1/1990,0.77,0.77
1/1/1991,0.96,0.96
2/1/1991,0.98,0.98
3/1/1991,1.01,1.01
4/1/1991,1.09,1.09
5/1/1991,1.29,1.29
6/1/1991,1.32,1.32
7/1/1991,1.35,1.35
8/1/1991,1.47,1.47
9/1/1991,1.47,1.47
10/1/1991,1.62,1.62
11/1/1991,1.86,1.86
12/1/1991,2.06,2.06
1/1/1992,2.07,2.07
2/1/1992,2.13,2.13
3/1/1992,1.85,1.85
4/1/1992,2.14,2.14
5/1/1992,2.16,2.16
6/1/1992,2.21,2.21
7/1/1992,2.48,2.48
8/1/1992,2.4,2.4
9/1/1992,2.53,2.53
10/1/1992,2.51,2.51
11/1/1992,2.29,2.29
12/1/1992,2.1,2.1
1/1/1993,2.21,2.21
2/1/1993,2.16,2.16
3/1/1993,2.03,2.03
4/1/1993,2.13,2.13
5/1/1993,2.06,2.06
6/1/1993,1.8,1.8
7/1/1993,1.74,1.74
8/1/1993,1.68,1.68
9/1/1993,1.51,1.51
10/1/1993,1.46,1.46
11/1/1993,1.56,1.56
12/1/1993,1.56,1.56
1/1/1994,1.61,1.61
2/1/1994,1.5,1.5
3/1/1994,1.48,1.48
4/1/1994,1.42,1.42
5/1/1994,1.21,1.21
6/1/1994,1.17,1.17
7/1/1994,1.17,1.17
8/1/1994,1.06,1.06
9/1/1994,1.07,1.07
10/1/1994,1.01,1.01
11/1/1994,0.81,0.81
12/1/1994,0.22,0.22
1/1/1995,0.27,0.27
2/1/1995,0.36,0.36
3/1/1995,0.42,0.42
4/1/1995,0.49,0.49
5/1/1995,0.46,0.46
6/1/1995,0.45,0.45
7/1/1995,0.5,0.5
8/1/1995,0.51,0.51
9/1/1995,0.39,0.39
10/1/1995,0.34,0.34
11/1/1995,0.45,0.45
12/1/1995,0.39,0.39
1/1/1996,0.54,0.54
2/1/1996,0.78,0.78
3/1/1996,0.61,0.61
4/1/1996,0.55,0.55
5/1/1996,0.64,0.64
6/1/1996,0.61,0.61
7/1/1996,0.6,0.6
8/1/1996,0.61,0.61
9/1/1996,0.6,0.6
10/1/1996,0.62,0.62
11/1/1996,0.5,0.5
12/1/1996,0.52,0.52
1/1/1997,0.57,0.57
2/1/1997,0.52,0.52
3/1/1997,0.47,0.47
4/1/1997,0.44,0.44
5/1/1997,0.43,0.43
6/1/1997,0.4,0.4
7/1/1997,0.33,0.33
8/1/1997,0.36,0.36
9/1/1997,0.33,0.33
10/1/1997,0.26,0.26
11/1/1997,0.17,0.17
12/1/1997,0.09,0.09
1/1/1998,0.18,0.18
2/1/1998,0.15,0.15
3/1/1998,0.09,0.09
4/1/1998,0.08,0.08
5/1/1998,0.06,0.06
6/1/1998,-0.02,-0.02
7/1/1998,0,0
8/1/1998,0.07,0.07
9/1/1998,0.14,0.14
10/1/1998,0.44,0.44
11/1/1998,0.29,0.29
12/1/1998,0.14,0.14
1/1/1999,0.1,0.1
2/1/1999,0.12,0.12
3/1/1999,0.18,0.18
4/1/1999,0.2,0.2
5/1/1999,0.29,0.29
6/1/1999,0.28,0.28
7/1/1999,0.24,0.24
8/1/1999,0.26,0.26
9/1/1999,0.26,0.26
10/1/1999,0.25,0.25
11/1/1999,0.17,0.17
12/1/1999,0.18,0.18
1/1/2000,0.22,0.22
2/1/2000,-0.09,-0.09
3/1/2000,-0.27,-0.27
4/1/2000,-0.41,-0.41
5/1/2000,-0.37,-0.37
6/1/2000,-0.38,-0.38
7/1/2000,-0.29,-0.29
8/1/2000,-0.4,-0.4
9/1/2000,-0.28,-0.28
10/1/2000,-0.17,-0.17
11/1/2000,-0.16,-0.16
12/1/2000,-0.11,-0.11
1/1/2001,0.4,0.4
2/1/2001,0.44,0.44
3/1/2001,0.55,0.55
4/1/2001,0.91,0.91
5/1/2001,1.13,1.13
6/1/2001,1.2,1.2
7/1/2001,1.2,1.2
8/1/2001,1.21,1.21
9/1/2001,1.61,1.61
10/1/2001,1.84,1.84
